town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Addison,Addison,2012,6,0,5,2,0,2,8,7,0,"36,977",0.16,0.05,0.22
Addison,Addison,2013,8,0,8,2,0,2,10,10,0,"37,126",0.22,0.05,0.27
Addison,Addison,2014,7,0,7,4,0,4,11,11,0,"37,215",0.19,0.11,0.3
Addison,Addison,2015,9,0,9,10,0,10,19,19,0,"37,270",0.24,0.27,0.51
Algonquin,Algonquin,2012,2,0,2,2,0,2,4,4,0,"29,924",0.07,0.07,0.13
Algonquin,Algonquin,2013,3,0,3,4,1,3,7,6,1,"30,078",0.1,0.13,0.23
Algonquin,Algonquin,2014,3,0,3,2,0,2,5,5,0,"30,189",0.1,0.07,0.17
Algonquin,Algonquin,2015,2,0,2,4,0,4,6,6,0,"30,278",0.07,0.13,0.2
Alsip,Alsip,2012,2,0,2,4,0,4,6,6,0,"19,264",0.1,0.21,0.31
Alsip,Alsip,2013,2,0,2,9,0,8,11,10,0,"19,331",0.1,0.47,0.57
Alsip,Alsip,2014,2,0,2,5,0,4,7,6,0,"19,385",0.1,0.26,0.36
Alsip,Alsip,2015,5,0,4,6,0,6,11,10,0,"19,396",0.26,0.31,0.57
Antioch,Antioch,2012,2,0,2,2,0,2,4,4,0,"14,185",0.14,0.14,0.28
Antioch,Antioch,2013,2,0,2,2,0,2,4,4,0,"14,354",0.14,0.14,0.28
Antioch,Antioch,2014,1,0,1,2,0,2,3,3,0,"14,395",0.07,0.14,0.21
Antioch,Antioch,2015,1,0,1,1,0,1,2,2,0,"14,386",0.07,0.07,0.14
Arlington Heights,Arlington Hts,2012,18,1,17,9,0,9,27,26,1,"75,221",0.24,0.12,0.36
Arlington Heights,Arlington Hts,2013,13,0,12,16,0,16,29,28,0,"75,492",0.17,0.21,0.38
Arlington Heights,Arlington Hts,2014,24,0,24,14,0,14,38,38,0,"75,577",0.32,0.19,0.5
Arlington Heights,Arlington Hts,2015,16,0,16,15,1,14,31,30,1,"75,802",0.21,0.2,0.41
Aurora,Aurora,2012,46,0,45,52,0,52,98,97,0,"196,569",0.23,0.26,0.5
