id,GEOID10,Town,total_crashes,total_inj,total_fatal,color
1,1714000,Chicago,17957,16835,178,fatal5
8,1770122,Skokie,240,226,9,fatal5
12,,Uninc. Cook County,188,168,9,fatal5
13,1719642,Des Plaines,164,152,9,fatal5
3,1703012,Aurora,371,358,8,fatal5
9,1723074,Elgin,207,194,7,fatal5
11,1779293,Waukegan,194,184,7,fatal5
21,1714026,Chicago Heights,91,83,7,fatal5
15,1733383,Harvey,124,114,6,fatal5
5,1738570,Joliet,283,271,5,fatal5
17,1754820,Oak Lawn,110,102,5,fatal5
74,,Uninc. McHenry County,38,32,5,fatal5
2,1724582,Evanston,422,407,4,fatal
4,1714351,Cicero,321,300,4,fatal
16,1753000,Niles,110,103,4,fatal
37,,Uninc. Will County,75,68,4,fatal
63,,Uninc. Lake County,48,42,4,fatal
76,1765442,Romeoville,37,32,4,fatal
99,,Uninc. Kane County,32,28,4,fatal
154,1717458,Crest Hill,14,10,4,fatal
18,1757875,Park Ridge,108,104,3,fatal
24,1781048,Wheaton,88,82,3,fatal
30,1751089,Mount Prospect,78,72,3,fatal
36,1726935,Forest Park,75,72,3,fatal
39,1743744,Lincolnwood,70,65,3,fatal
51,1750647,Morton Grove,57,51,3,fatal
78,1751349,Mundelein,36,31,3,fatal
79,1748892,Midlothian,35,31,3,fatal
10,1751622,Naperville,200,191,2,fatal
14,1702154,Arlington Heights,125,122,2,fatal
20,1768003,Schaumburg,96,93,2,fatal
26,1717887,Crystal Lake,83,76,2,fatal
33,1708225,Bridgeview,77,74,2,fatal
34,1757225,Palatine,77,65,2,fatal
38,1781087,Wheeling,73,70,2,fatal
46,1706704,Blue Island,61,55,2,fatal
55,1723256,Elk Grove Village,53,48,2,fatal
57,1727702,Franklin Park,52,48,2,fatal
69,1768081,Schiller Park,39,36,2,fatal
71,1732018,Gurnee,39,36,2,fatal
73,1745694,McHenry,38,36,2,fatal
75,1742028,Lansing,37,35,2,fatal
89,1754144,North Riverside,33,30,2,fatal
95,1764278,Riverdale,32,30,2,fatal
96,1773638,Summit,32,29,2,fatal
97,1735879,Homewood,32,29,2,fatal
100,1782985,Wood Dale,31,29,2,fatal
104,1704013,Bartlett,31,28,2,fatal
110,1747540,Matteson,28,25,2,fatal
111,1718628,Darien,28,25,2,fatal
125,1753871,Northlake,22,20,2,fatal
129,1778929,Warrenville,21,19,2,fatal
133,1744225,Lockport,20,18,2,fatal
143,1767769,Sauk Village,17,14,2,fatal
147,1738830,Justice,16,13,2,fatal
149,1704303,Beach Park,15,13,2,fatal
165,1750218,Montgomery,12,10,2,fatal
204,1764902,Rockdale,5,2,2,fatal
6,1705573,Berwyn,262,252,1,fatal
7,1754885,Oak Park,259,248,1,fatal
22,1723620,Elmhurst,91,89,1,fatal
23,1707133,Bolingbrook,90,84,1,fatal
25,1782075,Wilmette,84,78,1,fatal
28,1753377,Norridge,80,70,1,fatal
31,1720591,Downers Grove,78,77,1,fatal
32,1710487,Calumet City,78,76,1,fatal
35,,Uninc. DuPage County,77,71,1,fatal
40,1744407,Lombard,68,65,1,fatal
41,1723724,Elmwood Park,65,63,1,fatal
42,1775484,Tinley Park,65,63,1,fatal
43,1734722,Highland Park,64,63,1,fatal
45,1753481,Northbrook,62,61,1,fatal
49,1784220,Zion,60,57,1,fatal
50,1735411,Hoffman Estates,59,57,1,fatal
52,1732746,Hanover Park,57,54,1,fatal
59,1773157,Streamwood,50,48,1,fatal
64,1764304,River Forest,47,46,1,fatal
65,1756640,Orland Park,44,37,1,fatal
66,1708576,Brookfield,43,40,1,fatal
81,1766040,Round Lake Beach,35,33,1,fatal
83,1753559,North Chicago,35,33,1,fatal
84,1708446,Broadview,34,32,1,fatal
85,1747007,Markham,34,33,1,fatal
87,1765338,Rolling Meadows,34,30,1,fatal
93,1705248,Bensenville,32,30,1,fatal
101,1770850,South Holland,31,26,1,fatal
105,1772676,Stickney,30,24,1,fatal
109,1765806,Roselle,28,26,1,fatal
112,1733435,Harwood Heights,27,25,1,fatal
115,1760287,Plainfield,26,25,1,fatal
116,1765819,Rosemont,25,22,1,fatal
119,1780060,West Chicago,25,24,1,fatal
120,1716873,Countryside,24,23,1,fatal
121,1734514,Hickory Hills,24,23,1,fatal
122,1733695,Hazel Crest,24,22,1,fatal
128,1700685,Algonquin,22,21,1,fatal
131,1735086,Hillside,20,18,1,fatal
134,1772520,Steger,20,19,1,fatal
140,1752584,New Lenox,18,16,1,fatal
141,1762016,Prospect Heights,18,17,1,fatal
150,1769758,Shorewood,14,13,1,fatal
155,1757732,Park Forest,14,12,1,fatal
156,1726710,Ford Heights,13,12,1,fatal
158,1757381,Palos Heights,13,12,1,fatal
161,1754560,Oakbrook Terrace,12,11,1,fatal
162,1734865,Highwood,12,11,1,fatal
171,1709980,Burr Ridge,11,10,1,fatal
184,1779267,Wauconda,9,8,1,fatal
189,1737894,Island Lake,7,6,1,fatal
191,1717523,Crete,7,5,1,fatal
195,1748554,Merrionette Park,6,5,1,fatal
197,1755938,Olympia Fields,6,5,1,fatal
202,1720149,Dixmoor,5,4,1,fatal
208,1722931,Elburn,5,4,1,fatal
251,1770564,South Barrington,1,0,1,fatal
19,1729938,Glenview,97,96,0,crash
27,1748242,Melrose Park,81,79,0,crash
29,1747774,Maywood,80,76,0,crash
44,1724634,Evergreen Park,62,61,0,crash
47,1740767,La Grange,60,59,0,crash
