town,year,total2012
Abingdon,2012,3066
Adair,2012,212
Addieville,2012,271
Addison,2012,36977
Adeline,2012,108
Albany,2012,876
Albers,2012,1257
Albion,2012,2127
Aledo,2012,3812
Alexis,2012,951
Algonquin,2012,29924
Alhambra,2012,663
Allendale,2012,464
Allenville,2012,130
Allerton,2012,237
Alma,2012,292
Alorton,2012,1857
Alpha,2012,556
Alsey,2012,344
Alsip,2012,19264
Altamont,2012,2137
Alton,2012,27868
Altona,2012,463
Alto Pass,2012,448
Alvan,2012,262
Amboy,2012,2527
Anchor,2012,108
Andalusia,2012,1401
Andover,2012,653
Anna,2012,4470
Annapolis,2012,76
Annawan,2012,928
Antioch,2012,14185
Apple Canyon Lake,2012,447
Apple River,2012,400
Arcola,2012,2974
Arenzville,2012,354
Argenta,2012,952
Arlington,2012,175
Arlington Heights,2012,75221
Armington,2012,366
Aroma Park,2012,584
Arrowsmith,2012,391
Arthur,2012,2407
Ashkum,2012,659
Ashland,2012,1479
Ashley,2012,542
Ashmore,2012,783
Ashton,2012,1007
Assumption,2012,1280
Astoria,2012,1274
Athens,2012,2076
Atkinson,2012,1157
Atlanta,2012,1234
Atwood,2012,1143
Auburn,2012,4952
Augusta,2012,763
Aurora,2012,196569
Ava,2012,689
Aviston,2012,1953
Avon,2012,688
Baldwin,2012,457
Banner,2012,164
Bannockburn,2012,1456
Bardolph,2012,226
Barrington,2012,10739
Barrington Hills,2012,3938
Barry,2012,1397
Bartelso,2012,656
Bartlett,2012,41017
Bartonville,2012,6448
Basco,2012,131
Batavia,2012,25693
Batchtown,2012,237
Bath,2012,346
Baylis,2012,125
Bay View Gardens,2012,411
Beach Park,2012,13482
Beardstown,2012,6193
Beason,2012,137
Beaverville,2012,366
Beckemeyer,2012,909
Bedford Park,2012,624
Beecher,2012,4658
Beecher City,2012,359
Belgium,2012,474
Belknap,2012,105
Belle Prairie City,2012,112
Belle Rive,2012,413
Belleville,2012,44118
Bellevue,2012,2109
Bellflower,2012,327
Bellmont,2012,231
Bellwood,2012,19105
Belvidere,2012,25544
Bement,2012,1906
Benld,2012,1723
Bensenville,2012,18480
Benson,2012,446
Bentley,2012,39
Benton,2012,7284
Berkeley,2012,5189
Berlin,2012,186
Berwyn,2012,56376
Bethalto,2012,9506
Bethany,2012,1379
Biggsville,2012,347
Big Rock,2012,1038
Bingham,2012,114
Bishop Hill,2012,128
Bismarck,2012,538
Blandinsville,2012,668
Bloomingdale,2012,22028
Bloomington,2012,76527
Blue Island,2012,23457
Blue Mound,2012,1339
Bluffs,2012,761
Bluford,2012,655
Bolingbrook,2012,73383
Bondville,2012,620
Bone Gap,2012,210
Bonfield,2012,277
Bonnie,2012,448
Boody,2012,219
Boulder Hill,2012,8532
Bourbonnais,2012,18582
Bowen,2012,596
Braceville,2012,848
Bradford,2012,861
Bradley,2012,15777
Braidwood,2012,6047
Breese,2012,4805
Bridgeport,2012,1335
Bridgeview,2012,16394
Brighton,2012,2084
Brimfield,2012,910
Broadlands,2012,304
Broadview,2012,7938
Broadwell,2012,70
Brocton,2012,428
Brookfield,2012,18812
Brooklyn,2012,669
Brookport,2012,922
Broughton,2012,294
Browning,2012,163
Browns,2012,108
Brownstown,2012,741
Brussels,2012,151
Bryant,2012,186
Buckingham,2012,317
Buckley,2012,579
Buckner,2012,398
Buda,2012,588
Buffalo,2012,392
Buffalo Grove,2012,41667
Bull Valley,2012,1003
Bulpitt,2012,338
Buncombe,2012,213
Bunker Hill,2012,1719
Burbank,2012,28851
Bureau Junction,2012,301
Burlington,2012,547
Burnham,2012,4208
Burnt Prairie,2012,67
Burr Ridge,2012,10590
Bush,2012,266
Bushnell,2012,3079
Butler,2012,131
Byron,2012,3709
Cabery,2012,327
Cahokia,2012,15169
Cairo,2012,2812
Caledonia,2012,233
Calhoun,2012,167
Calumet City,2012,37070
Calumet Park,2012,7913
Camargo,2012,502
Cambria,2012,1305
Cambridge,2012,2319
Camden,2012,144
Campbell Hill,2012,281
Camp Point,2012,1420
Campton Hills,2012,10985
Campus,2012,133
Canton,2012,14699
Cantrall,2012,171
Capron,2012,1445
Carbon Cliff,2012,2189
Carbondale,2012,25961
Carbon Hill,2012,486
Carlinville,2012,5799
Carlock,2012,752
Carlyle,2012,3265
Carmi,2012,5351
Carol Stream,2012,39869
Carpentersville,2012,37758
Carrier Mills,2012,1702
Carrollton,2012,2576
Carterville,2012,5485
Carthage,2012,2618
Cary,2012,18202
Casey,2012,2618
Caseyville,2012,4349
Catlin,2012,2142
Cave-In-Rock,2012,251
Cedar Point,2012,255
Cedarville,2012,753
Central City,2012,1194
Centralia,2012,13019
Centreville,2012,5306
Cerro Gordo,2012,1324
Chadwick,2012,436
Champaign,2012,81083
Chandlerville,2012,744
Channahon,2012,12377
Channel Lake,2012,1709
Chapin,2012,613
Charleston,2012,21952
Chatham,2012,11807
Chatsworth,2012,1214
Chebanse,2012,1207
Chemung,2012,213
Chenoa,2012,1861
Cherry,2012,340
Cherry Valley,2012,3203
Chester,2012,8523
Chesterfield,2012,168
Chestnut,2012,155
Chicago,2012,2702471
Chicago Heights,2012,30328
Chicago Ridge,2012,14303
Chillicothe,2012,6139
Chrisman,2012,1320
Christopher,2012,2629
Cicero,2012,83756
Cisco,2012,283
Cisne,2012,756
Cissna Park,2012,882
Claremont,2012,202
Clarendon Hills,2012,8434
Clay City,2012,903
Clayton,2012,642
Clear Lake,2012,248
Cleveland,2012,203
Clifton,2012,1483
Clinton,2012,7007
Coal City,2012,5346
Coalton,2012,276
Coal Valley,2012,3733
Coatsburg,2012,144
Cobden,2012,1322
Coffeen,2012,460
Colchester,2012,1274
Coleta,2012,184
Colfax,2012,1038
Collinsville,2012,25370
Colona,2012,5013
