town,year,pop2015
Abingdon,2015,3105
Adair,2015,150
Addieville,2015,311
Addison,2015,37270
Adeline,2015,83
Albany,2015,1039
Albers,2015,1134
Albion,2015,2154
Aledo,2015,3590
Alexis,2015,967
Algonquin,2015,30278
Alhambra,2015,633
Allendale,2015,717
Allenville,2015,170
Allerton,2015,231
Alma,2015,371
Alorton,2015,1867
Alpha,2015,558
Alsey,2015,233
Alsip,2015,19396
Altamont,2015,2399
Alton,2015,27335
Altona,2015,494
Alto Pass,2015,402
Alvan,2015,286
Amboy,2015,2535
Anchor,2015,145
Andalusia,2015,1384
Andover,2015,554
Anna,2015,4360
Annapolis,2015,40
Annawan,2015,900
Antioch,2015,14386
Apple Canyon Lake,2015,304
Apple River,2015,456
Arcola,2015,2961
Arenzville,2015,364
Argenta,2015,958
Arlington,2015,166
Arlington Heights,2015,75802
Armington,2015,360
Aroma Park,2015,659
Arrowsmith,2015,316
Arthur,2015,2563
Ashkum,2015,795
Ashland,2015,1318
Ashley,2015,563
Ashmore,2015,828
Ashton,2015,958
Assumption,2015,1315
Astoria,2015,1198
Athens,2015,1776
Atkinson,2015,1006
Atlanta,2015,1321
Atwood,2015,1115
Auburn,2015,4870
Augusta,2015,573
Aurora,2015,200614
Ava,2015,661
Aviston,2015,2228
Avon,2015,686
Baldwin,2015,409
Banner,2015,207
Bannockburn,2015,1390
Bardolph,2015,268
Barrington,2015,10576
Barrington Hills,2015,3370
Barry,2015,1300
Bartelso,2015,608
Bartlett,2015,41552
Bartonville,2015,6438
Basco,2015,78
Batavia,2015,26105
Batchtown,2015,189
Bath,2015,267
Baylis,2015,195
Bay View Gardens,2015,336
Beach Park,2015,13833
Beardstown,2015,6217
Beason,2015,70
Beaverville,2015,285
Beckemeyer,2015,948
Bedford Park,2015,646
Beecher,2015,4532
Beecher City,2015,454
Belgium,2015,325
Belknap,2015,54
Belle Prairie City,2015,60
Belle Rive,2015,301
Belleville,2015,42898
Bellevue,2015,1566
Bellflower,2015,330
Bellmont,2015,204
Bellwood,2015,19190
Belvidere,2015,25741
Bement,2015,1744
Benld,2015,1657
Bensenville,2015,18485
Benson,2015,427
Bentley,2015,37
Benton,2015,7319
Berkeley,2015,5217
Berlin,2015,144
Berwyn,2015,56706
Bethalto,2015,9406
Bethany,2015,1308
Biggsville,2015,298
Big Rock,2015,1128
Bingham,2015,45
Bishop Hill,2015,136
Bismarck,2015,598
Blandinsville,2015,693
Bloomingdale,2015,22261
Bloomington,2015,78206
Blue Island,2015,23096
Blue Mound,2015,1055
Bluffs,2015,795
Bluford,2015,617
Bolingbrook,2015,74371
Bondville,2015,476
Bone Gap,2015,201
Bonfield,2015,319
Bonnie,2015,403
Boody,2015,232
Boulder Hill,2015,8584
Bourbonnais,2015,18656
Bowen,2015,458
Braceville,2015,757
Bradford,2015,707
Bradley,2015,15763
Braidwood,2015,6049
Breese,2015,4539
Bridgeport,2015,1196
Bridgeview,2015,16359
Brighton,2015,2109
Brimfield,2015,901
Broadlands,2015,380
Broadview,2015,7957
Broadwell,2015,117
Brocton,2015,357
Brookfield,2015,18964
Brooklyn,2015,836
Brookport,2015,883
Broughton,2015,218
Browning,2015,103
Browns,2015,127
Brownstown,2015,777
Brussels,2015,132
Bryant,2015,200
Buckingham,2015,304
Buckley,2015,578
Buckner,2015,428
Buda,2015,644
Buffalo,2015,537
Buffalo Grove,2015,41591
Bull Valley,2015,1085
Bulpitt,2015,262
Buncombe,2015,203
Bunker Hill,2015,1719
Burbank,2015,29157
Bureau Junction,2015,242
Burlington,2015,659
Burnham,2015,4224
Burnt Prairie,2015,66
Burr Ridge,2015,10753
Bush,2015,265
Bushnell,2015,3022
Butler,2015,130
Byron,2015,3672
Cabery,2015,326
Cahokia,2015,14740
Cairo,2015,2758
Caledonia,2015,219
Calhoun,2015,204
Calumet City,2015,37184
Calumet Park,2015,8367
Camargo,2015,550
Cambria,2015,1380
Cambridge,2015,2126
Camden,2015,114
Campbell Hill,2015,304
Camp Point,2015,1150
Campton Hills,2015,11012
Campus,2015,158
Candlewick Lake,2015,4486
Canton,2015,14539
Cantrall,2015,233
Capron,2015,1846
Carbon Cliff,2015,2076
Carbondale,2015,26192
Carbon Hill,2015,328
Carlinville,2015,5452
Carlock,2015,613
Carlyle,2015,3299
Carmi,2015,5107
Carol Stream,2015,40253
Carpentersville,2015,38264
Carrier Mills,2015,2081
Carrollton,2015,2478
Carterville,2015,5691
Carthage,2015,2580
Cary,2015,18038
Casey,2015,2546
Caseyville,2015,4103
Catlin,2015,1981
Cave-In-Rock,2015,365
Cedar Point,2015,322
Cedarville,2015,633
Central City,2015,1047
Centralia,2015,12798
Centreville,2015,5142
Cerro Gordo,2015,1348
Chadwick,2015,481
Champaign,2015,84008
Chandlerville,2015,621
Channahon,2015,12845
Channel Lake,2015,1505
Chapin,2015,479
Charleston,2015,21552
Chatham,2015,12341
Chatsworth,2015,1012
Chebanse,2015,1129
Chemung,2015,294
Chenoa,2015,1763
Cherry,2015,446
Cherry Valley,2015,2913
Chester,2015,8592
Chesterfield,2015,238
Chestnut,2015,169
Chicago,2015,2717534
Chicago Heights,2015,30428
Chicago Ridge,2015,14407
Chillicothe,2015,6092
Chrisman,2015,1346
Christopher,2015,2876
Cicero,2015,84361
Cisco,2015,251
Cisne,2015,646
Cissna Park,2015,834
Claremont,2015,244
Clarendon Hills,2015,8609
Clay City,2015,898
Clayton,2015,613
Clear Lake,2015,240
Cleveland,2015,175
Clifton,2015,1581
Clinton,2015,6987
Coal City,2015,5724
Coalton,2015,283
Coal Valley,2015,3784
Coatsburg,2015,164
Cobden,2015,1425
Coffeen,2015,405
Colchester,2015,1539
Coleta,2015,212
Colfax,2015,1101
Collinsville,2015,25025
Colona,2015,4918
Colp,2015,253
Columbia,2015,10029
Columbus,2015,80
Como,2015,405
Compton,2015,266
Concord,2015,186
Congerville,2015,483
Cooksville,2015,194
Cordova,2015,624
Cornell,2015,353
Cornland,2015,50
Cortland,2015,4323
Coulterville,2015,969
Country Club Hills,2015,16806
Countryside,2015,5984
Cowden,2015,547
Coyne Center,2015,953
Crab Orchard,2015,293
Crainville,2015,1287
Creal Springs,2015,446
Crescent City,2015,728
Crest Hill,2015,20479
Creston,2015,740
Crestwood,2015,11027
Crete,2015,8246
Creve Coeur,2015,5652
Crossville,2015,691
Crystal Lake,2015,40635
Crystal Lawns,2015,2122
Cuba,2015,1561
Cullom,2015,607
Curran,2015,190
Cutler,2015,389
Cypress,2015,247
Dahlgren,2015,375
Dakota,2015,511
Dallas City,2015,1254
Dalton City,2015,434
Dalzell,2015,725
Damiansville,2015,522
Dana,2015,126
Danforth,2015,577
Danvers,2015,1204
Danville,2015,32337
Darien,2015,22263
Darmstadt,2015,0
Davis,2015,790
Davis Junction,2015,2532
Dawson,2015,545
Dayton,2015,491
Decatur,2015,74654
Deer Creek,2015,731
Deerfield,2015,18588
Deer Grove,2015,38
Deer Park,2015,3323
DeKalb,2015,43483
De Land,2015,430
Delavan,2015,1625
De Pue,2015,1852
De Soto,2015,1567
Des Plaines,2015,58930
Detroit,2015,110
De Witt,2015,224
Diamond,2015,2612
