towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Addison,2015,9,0,9,10,0,10,19,19,0,Addison
Algonquin,2015,2,0,2,4,0,4,6,6,0,Algonquin
Alsip,2015,5,0,4,6,0,6,11,10,0,Alsip
Antioch,2015,1,0,1,1,0,1,2,2,0,Antioch
Arlington Hts,2015,16,0,16,15,1,14,31,30,1,Arlington Heights
Aurora,2015,33,1,31,50,0,49,83,80,1,Aurora
Barrington,2015,NA,NA,NA,3,0,2,3,2,0,Barrington
Barrington Hills,2015,2,0,2,NA,NA,NA,2,2,0,Barrington Hills
Bartlett,2015,2,0,2,3,0,3,5,5,0,Bartlett
Batavia,2015,3,0,3,8,0,8,11,11,0,Batavia
Beach Park,2015,1,0,1,3,1,2,4,3,1,Beach Park
Bedford Park,2015,NA,NA,NA,2,0,2,2,2,0,Bedford Park
Bellwood,2015,3,0,3,8,0,8,11,11,0,Bellwood
Bensenville,2015,5,0,5,6,1,5,11,10,1,Bensenville
Berkeley,2015,NA,NA,NA,1,0,1,1,1,0,Berkeley
Berwyn,2015,23,0,23,44,0,44,67,67,0,Berwyn
Bloomingdale,2015,4,0,4,2,0,2,6,6,0,Bloomingdale
Blue Island,2015,4,0,4,8,1,7,12,11,1,Blue Island
Bolingbrook,2015,11,0,11,7,1,6,18,17,1,Bolingbrook
Braidwood,2015,1,0,1,NA,NA,NA,1,1,0,Braidwood
Bridgeview,2015,7,0,7,5,0,5,12,12,0,Bridgeview
Broadview,2015,4,0,4,5,0,5,9,9,0,Broadview
Brookfield,2015,5,0,5,10,0,10,15,15,0,Brookfield
Buffalo Grove,2015,2,0,2,8,0,8,10,10,0,Buffalo Grove
Burbank,2015,5,0,5,4,0,4,9,9,0,Burbank
Burnham,2015,2,0,2,NA,NA,NA,2,2,0,Burnham
Burr Ridge,2015,1,0,1,1,1,0,2,1,1,Burr Ridge
Calumet City,2015,4,0,4,9,0,9,13,13,0,Calumet City
Calumet Park,2015,1,0,1,4,0,3,5,4,0,Calumet Park
Campton Hills,2015,1,0,1,NA,NA,NA,1,1,0,Campton Hills
Carol Stream,2015,8,0,8,2,0,2,10,10,0,Carol Stream
Carpentersville,2015,2,0,2,3,0,3,5,5,0,Carpentersville
Cary,2015,NA,NA,NA,2,0,2,2,2,0,Cary
Channahon,2015,NA,NA,NA,1,0,1,1,1,0,Channahon
Chicago,2015,1737,8,1659,2921,44,2727,4658,4386,52,Chicago
Chicago Hts,2015,2,0,2,14,3,10,16,12,3,Chicago Heights
Chicago Ridge,2015,2,0,2,NA,NA,NA,2,2,0,Chicago Ridge
Cicero,2015,36,0,36,53,0,51,89,87,0,Cicero
Clarendon Hills,2015,1,0,1,1,0,1,2,2,0,Clarendon Hills
Country Club Hills,2015,NA,NA,NA,1,0,1,1,1,0,Country Club Hills
Countryside,2015,3,0,3,4,0,4,7,7,0,Countryside
Crest Hill,2015,NA,NA,NA,3,2,1,3,1,2,Crest Hill
Crestwood,2015,NA,NA,NA,4,0,4,4,4,0,Crestwood
Crete,2015,2,0,2,NA,NA,NA,2,2,0,Crete
Crystal Lake,2015,11,0,11,10,1,9,21,20,1,Crystal Lake
Darien,2015,1,0,1,3,1,2,4,3,1,Darien
Deerfield,2015,8,0,8,2,0,2,10,10,0,Deerfield
Des Plaines,2015,21,1,20,21,3,17,42,37,4,Des Plaines
Dixmoor,2015,1,0,1,2,1,1,3,2,1,Dixmoor
Dolton,2015,3,0,3,8,0,8,11,11,0,Dolton
Downers Grove,2015,8,0,8,11,0,11,19,19,0,Downers Grove
East Dundee,2015,2,0,2,2,0,2,4,4,0,East Dundee
Elgin,2015,16,0,15,38,4,33,54,48,4,Elgin
Elk Grove,2015,9,0,9,5,0,5,14,14,0,Elk Grove Village
Elmhurst,2015,10,0,10,9,0,9,19,19,0,Elmhurst
Elmwood Park,2015,2,0,2,10,0,10,12,12,0,Elmwood Park
Evanston,2015,55,0,55,47,1,45,102,100,1,Evanston
Evergreen Park,2015,4,0,4,9,0,9,13,13,0,Evergreen Park
Flossmoor,2015,1,0,1,1,0,1,2,2,0,Flossmoor
Ford Heights,2015,NA,NA,NA,6,1,5,6,5,1,Ford Heights
Forest Park,2015,5,0,5,9,0,9,14,14,0,Forest Park
Forestview,2015,NA,NA,NA,1,0,1,1,1,0,Forest View
Fox Lake,2015,2,0,2,NA,NA,NA,2,2,0,Fox Lake
Fox River Grove,2015,NA,NA,NA,2,0,2,2,2,0,Fox River Grove
Frankfort,2015,1,0,1,1,0,1,2,2,0,Frankfort
Franklin Park,2015,7,1,5,6,0,6,13,11,1,Franklin Park
Geneva,2015,2,0,2,7,0,7,9,9,0,Geneva
Glen Ellyn,2015,8,0,8,9,0,9,17,17,0,Glen Ellyn
Glencoe,2015,3,0,3,4,0,3,7,6,0,Glencoe
Glendale Hts,2015,6,0,6,8,0,8,14,14,0,Glendale Heights
Glenview,2015,17,0,17,6,0,6,23,23,0,Glenview
Glenwood,2015,1,0,1,2,0,2,3,3,0,Glenwood
Golf,2015,NA,NA,NA,1,0,1,1,1,0,Golf
Grayslake,2015,4,0,4,2,0,2,6,6,0,Grayslake
Green Oaks,2015,1,0,1,NA,NA,NA,1,1,0,Green Oaks
Gurnee,2015,5,0,5,9,0,8,14,13,0,Gurnee
Hainesville,2015,1,0,1,1,0,1,2,2,0,Hainesville
Hanover Park,2015,7,1,6,7,0,7,14,13,1,Hanover Park
Harvard,2015,2,0,2,NA,NA,NA,2,2,0,Harvard
Harvey,2015,8,0,8,23,1,21,31,29,1,Harvey
Harwood Hts,2015,5,0,5,3,0,3,8,8,0,Harwood Heights
Hawthorn Woods,2015,1,0,1,NA,NA,NA,1,1,0,Hawthorn Woods
Hazelcrest,2015,1,0,1,2,0,2,3,3,0,Hazel Crest
Hickory Hills,2015,1,0,1,5,0,5,6,6,0,Hickory Hills
Highland Park,2015,5,0,5,7,0,7,12,12,0,Highland Park
Highwood,2015,2,0,2,1,0,1,3,3,0,Highwood
Hillside,2015,1,0,1,1,1,0,2,1,1,Hillside
Hinsdale,2015,1,0,1,7,0,7,8,8,0,Hinsdale
Hodgkins,2015,2,0,2,1,0,1,3,3,0,Hodgkins
Hoffman Estates,2015,9,0,9,9,1,8,18,17,1,Hoffman Estates
Homer Glen,2015,1,0,1,1,0,1,2,2,0,Homer Glen
Hometown,2015,1,0,1,1,0,1,2,2,0,Hometown
Homewood,2015,1,0,1,5,1,4,6,5,1,Homewood
Huntley,2015,3,0,3,1,0,1,4,4,0,Huntley
Indian Head Park,2015,1,0,1,1,0,1,2,2,0,Indian Head Park
Inverness,2015,1,0,1,NA,NA,NA,1,1,0,Inverness
Island Lake,2015,NA,NA,NA,3,1,2,3,2,1,Island Lake
Itasca,2015,3,0,3,3,0,3,6,6,0,Itasca
Johnsburg,2015,NA,NA,NA,1,0,1,1,1,0,Johnsburg
Joliet,2015,28,1,27,39,1,37,67,64,2,Joliet
Justice,2015,2,0,2,2,1,1,4,3,1,Justice
Kenilworth,2015,3,0,3,NA,NA,NA,3,3,0,Kenilworth
Kildeer,2015,1,0,1,NA,NA,NA,1,1,0,Kildeer
LaGrange,2015,9,0,9,6,0,6,15,15,0,La Grange
LaGrange Park,2015,3,0,3,4,0,4,7,7,0,La Grange Park
Lake Bluff,2015,2,0,2,NA,NA,NA,2,2,0,Lake Bluff
Lake Forest,2015,4,0,4,5,0,3,9,7,0,Lake Forest
Lake In The Hills,2015,2,0,2,4,0,4,6,6,0,Lake in the Hills
Lake Villa,2015,1,0,1,NA,NA,NA,1,1,0,Lake Villa
Lake Zurich,2015,4,0,4,1,0,1,5,5,0,Lake Zurich
Lansing,2015,3,0,3,5,1,4,8,7,1,Lansing
Lemont,2015,NA,NA,NA,2,0,1,2,1,0,Lemont
Libertyville,2015,3,0,3,2,0,2,5,5,0,Libertyville
Lincolnshire,2015,2,0,2,NA,NA,NA,2,2,0,Lincolnshire
Lincolnwood,2015,13,0,13,13,0,13,26,26,0,Lincolnwood
Lisle,2015,4,0,4,6,0,6,10,10,0,Lisle
Lockport,2015,1,0,1,2,0,2,3,3,0,Lockport
Lombard,2015,7,0,7,3,0,3,10,10,0,Lombard
Long Grove,2015,NA,NA,NA,1,0,1,1,1,0,Long Grove
Lynnwood,2015,NA,NA,NA,1,0,1,1,1,0,Lynwood
Lyons,2015,6,0,6,6,0,6,12,12,0,Lyons
Manhattan,2015,NA,NA,NA,1,0,1,1,1,0,Manhattan
Marengo,2015,2,0,2,1,0,1,3,3,0,Marengo
Markham,2015,3,0,3,5,0,5,8,8,0,Markham
Matteson,2015,2,0,2,3,0,3,5,5,0,Matteson
Maywood,2015,11,0,10,13,0,12,24,22,0,Maywood
Mccook,2015,NA,NA,NA,1,0,1,1,1,0,McCook
McCullom Lake,2015,1,0,1,NA,NA,NA,1,1,0,McCullom Lake
McHenry,2015,3,0,3,3,1,2,6,5,1,McHenry
Melrose Park,2015,8,0,8,12,0,11,20,19,0,Melrose Park
Merrionette Park,2015,1,0,1,1,0,1,2,2,0,Merrionette Park
Midlothian,2015,2,0,2,7,2,5,9,7,2,Midlothian
Mokena,2015,5,0,5,1,0,1,6,6,0,Mokena
Monee,2015,1,0,1,NA,NA,NA,1,1,0,Monee
Montgomery,2015,NA,NA,NA,1,1,0,1,0,1,Montgomery
Morton Grove,2015,10,0,10,3,1,1,13,11,1,Morton Grove
Mt Prospect,2015,16,0,16,12,1,9,28,25,1,Mount Prospect
Mundelein,2015,1,0,1,2,0,2,3,3,0,Mundelein
N Barrington,2015,NA,NA,NA,1,0,1,1,1,0,North Barrington
Naperville,2015,23,0,23,25,0,23,48,46,0,Naperville
New Lenox,2015,1,0,1,5,1,4,6,5,1,New Lenox
Niles,2015,9,0,8,22,2,18,31,26,2,Niles
No Aurora,2015,1,0,1,NA,NA,NA,1,1,0,North Aurora
Norridge,2015,10,0,7,9,0,7,19,14,0,Norridge
North Chicago,2015,1,0,1,2,0,2,3,3,0,North Chicago
North Lake,2015,2,0,2,3,1,2,5,4,1,Northlake
North Riverside,2015,8,0,8,4,1,3,12,11,1,North Riverside
Northbrook,2015,7,0,7,3,0,3,10,10,0,Northbrook
Oak Brook,2015,1,0,1,2,0,2,3,3,0,Oak Brook
Oak Forest,2015,NA,NA,NA,1,0,1,1,1,0,Oak Forest
Oak Lawn,2015,11,0,11,11,1,10,22,21,1,Oak Lawn
Oak Park,2015,22,0,22,43,0,41,65,63,0,Oak Park
Oakbrook Terrace,2015,2,1,1,2,0,2,4,3,1,Oakbrook Terrace
Olympia Fields,2015,1,1,0,NA,NA,NA,1,0,1,Olympia Fields
Orland Hills,2015,1,0,1,NA,NA,NA,1,1,0,Orland Hills
Orland Park,2015,4,0,3,7,0,5,11,8,0,Orland Park
Palatine,2015,9,0,8,12,1,11,21,19,1,Palatine
Palos Hills,2015,4,0,4,6,0,6,10,10,0,Palos Hills
Palos Hts,2015,3,0,3,4,0,4,7,7,0,Palos Heights
Palos Park,2015,NA,NA,NA,1,0,1,1,1,0,Palos Park
Park City,2015,NA,NA,NA,2,0,1,2,1,0,Park City
Park Forest,2015,2,0,2,1,1,0,3,2,1,Park Forest
Park Ridge,2015,10,0,10,17,0,17,27,27,0,Park Ridge
Pingree Grove,2015,NA,NA,NA,1,0,0,1,0,0,Pingree Grove
Plainfield,2015,3,0,3,5,1,4,8,7,1,Plainfield
Posen,2015,2,0,2,1,0,1,3,3,0,Posen
Prairie Grove,2015,2,0,2,NA,NA,NA,2,2,0,Prairie Grove
Prospect Hts,2015,2,0,2,2,0,2,4,4,0,Prospect Heights
Richmond,2015,NA,NA,NA,1,0,1,1,1,0,Richmond
Richton Park,2015,1,0,1,4,0,3,5,4,0,Richton Park
River Forest,2015,3,0,3,5,1,4,8,7,1,River Forest
River Grove,2015,10,0,10,7,0,7,17,17,0,River Grove
Riverdale,2015,NA,NA,NA,7,0,7,7,7,0,Riverdale
Riverside,2015,3,0,3,2,0,2,5,5,0,Riverside
Robbins,2015,1,0,0,2,0,1,3,1,0,Robbins
Rockdale,2015,NA,NA,NA,1,0,1,1,1,0,Rockdale
Rolling Meadows,2015,5,1,4,4,0,4,9,8,1,Rolling Meadows
Romeoville,2015,4,0,4,4,0,4,8,8,0,Romeoville
Roselle,2015,2,0,2,5,0,5,7,7,0,Roselle
Rosemont,2015,NA,NA,NA,5,0,4,5,4,0,Rosemont
Round Lake,2015,1,0,1,3,0,3,4,4,0,Round Lake
Round Lake Bch,2015,3,0,3,7,0,7,10,10,0,Round Lake Beach
Round Lake Park,2015,1,0,1,3,0,3,4,4,0,Round Lake Park
Sauk Village,2015,4,1,3,NA,NA,NA,4,3,1,Sauk Village
Schaumburg,2015,16,0,16,11,0,11,27,27,0,Schaumburg
Schiller Park,2015,2,0,2,8,1,6,10,8,1,Schiller Park
Shorewood,2015,2,0,2,3,0,3,5,5,0,Shorewood
Skokie,2015,33,1,32,29,0,29,62,61,1,Skokie
Sleepy Hollow,2015,1,0,1,2,0,2,3,3,0,Sleepy Hollow
So Elgin,2015,5,0,5,2,0,2,7,7,0,South Elgin
South Holland,2015,2,0,2,10,0,8,12,10,0,South Holland
St Charles,2015,8,0,8,5,0,5,13,13,0,St. Charles
Steger,2015,1,0,1,NA,NA,NA,1,1,0,Steger
Stickney,2015,5,0,4,5,0,4,10,8,0,Stickney
Stone Park,2015,1,0,1,7,0,7,8,8,0,Stone Park
Streamwood,2015,4,0,4,11,1,10,15,14,1,Streamwood
Sugar Grove,2015,1,0,1,1,0,1,2,2,0,Sugar Grove
Summit,2015,2,0,2,3,1,2,5,4,1,Summit
Thornton,2015,1,0,1,1,0,1,2,2,0,Thornton
Tinley Park,2015,6,0,6,8,1,7,14,13,1,Tinley Park
University Park,2015,NA,NA,NA,2,0,2,2,2,0,University Park
Vernon Hills,2015,3,0,3,3,0,2,6,5,0,Vernon Hills
Villa Park,2015,3,0,3,4,0,4,7,7,0,Villa Park
Warrenville,2015,5,0,5,4,1,3,9,8,1,Warrenville
Wauconda,2015,1,0,1,NA,NA,NA,1,1,0,Wauconda
Waukegan,2015,16,1,15,28,0,28,44,43,1,Waukegan
West Chicago,2015,NA,NA,NA,4,0,4,4,4,0,West Chicago
West Dundee,2015,1,0,1,1,0,1,2,2,0,West Dundee
Westchester,2015,NA,NA,NA,5,0,5,5,5,0,Westchester
Western Springs,2015,2,0,2,3,0,3,5,5,0,Western Springs
Westmont,2015,3,0,2,NA,NA,NA,3,2,0,Westmont
Wheaton,2015,8,0,8,14,2,12,22,20,2,Wheaton
Wheeling,2015,9,0,9,5,0,5,14,14,0,Wheeling
Willow Springs,2015,1,0,1,1,0,1,2,2,0,Willow Springs
Wilmette,2015,13,0,13,7,0,6,20,19,0,Wilmette
