town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Addison ,2013,8,0,8,2,0,2,10,10,0
Algonquin ,2013,3,0,3,4,1,3,7,6,1
Alsip ,2013,2,0,2,9,0,8,11,10,0
Antioch ,2013,2,0,2,2,0,2,4,4,0
Arlington Hts ,2013,13,0,12,16,0,16,29,28,0
Aurora ,2013,39,0,39,50,3,46,89,85,3
Barrington ,2013,1,0,1,,,,1,1,0
Bartlett ,2013,2,0,1,8,1,7,10,8,1
Batavia ,2013,1,0,1,4,0,4,5,5,0
Beach Park ,2013,3,0,3,1,1,0,4,3,1
Bedford Park ,2013,,,,1,0,1,1,1,0
Beecher ,2013,,,,1,0,1,1,1,0
Bellwood ,2013,6,0,6,12,0,10,18,16,0
Bensenville ,2013,4,0,4,4,0,4,8,8,0
Berkeley ,2013,1,0,1,,,,1,1,0
Berwyn ,2013,41,0,39,30,0,29,71,68,0
Bloomingdale ,2013,7,0,7,6,0,5,13,12,0
Blue Island ,2013,6,0,6,14,0,13,20,19,0
Bolingbrook ,2013,10,0,10,15,0,15,25,25,0
Braidwood ,2013,,,,1,0,1,1,1,0
Bridgeview ,2013,7,0,7,17,0,17,24,24,0
Broadview ,2013,2,0,2,2,0,2,4,4,0
Brookfield ,2013,6,0,6,3,0,3,9,9,0
Buffalo Grove ,2013,6,0,6,4,0,4,10,10,0
Burbank ,2013,6,0,6,6,0,6,12,12,0
Burnham ,2013,,,,2,0,2,2,2,0
Burr Ridge ,2013,3,0,3,,,,3,3,0
Calumet City ,2013,2,0,2,21,0,20,23,22,0
Calumet Park ,2013,,,,7,0,7,7,7,0
Campton Hills ,2013,,,,1,0,1,1,1,0
Carol Stream ,2013,4,0,3,7,0,7,11,10,0
Carpentersville ,2013,4,0,4,6,0,6,10,10,0
Cary ,2013,1,0,1,,,,1,1,0
Chicago ,2013,1730,3,1574,2796,28,2622,4526,4196,31
Chicago Hts ,2013,8,0,8,19,2,17,27,25,2
Chicago Ridge ,2013,4,0,4,5,0,5,9,9,0
